frame.number	frame.time	frame.time_relative	ip.proto	ip.src	udp.srcport	tcp.srcport	ip.dst	udp.dstport	tcp.dstport	frame.len
197	Apr 25, 2006 05:58:54.693353000 CDT	0.068988000	17	192.168.62.121	32915		227.111.1.1	12345		1358
198	Apr 25, 2006 05:58:54.693555000 CDT	0.069190000	17	192.168.62.121	32917		227.111.1.3	12345		1358
199	Apr 25, 2006 05:58:54.693778000 CDT	0.069413000	17	192.168.62.121	32916		227.111.1.2	12345		1358
200	Apr 25, 2006 05:58:54.693933000 CDT	0.069568000	17	192.168.62.121	32921		227.111.1.5	12345		1358
201	Apr 25, 2006 05:58:54.693941000 CDT	0.069576000	6	192.168.62.121		5901	10.100.100.100		2834	60
202	Apr 25, 2006 05:58:54.694152000 CDT	0.069787000	17	192.168.62.121	32923		227.111.1.6	12345		1358
203	Apr 25, 2006 05:58:54.694341000 CDT	0.069976000	17	192.168.62.121	32920		227.111.1.4	12345		1358
204	Apr 25, 2006 05:58:54.694540000 CDT	0.070175000	17	192.168.62.121	32915		227.111.1.1	12345		1358
205	Apr 25, 2006 05:58:54.694755000 CDT	0.070390000	17	192.168.62.121	32917		227.111.1.3	12345		1358
206	Apr 25, 2006 05:58:54.694763000 CDT	0.070398000	6	10.100.100.100		2834	192.168.62.121		5901	60
207	Apr 25, 2006 05:58:54.694768000 CDT	0.070403000	6	192.168.62.121		5901	10.100.100.100		2834	60
208	Apr 25, 2006 05:58:54.695004000 CDT	0.070639000	17	192.168.62.121	32917		227.111.1.3	12345		1358
209	Apr 25, 2006 05:58:54.695202000 CDT	0.070837000	17	192.168.62.121	32921		227.111.1.5	12345		1358
210	Apr 25, 2006 05:58:54.695389000 CDT	0.071024000	17	192.168.62.121	32923		227.111.1.6	12345		1358
211	Apr 25, 2006 05:58:54.695583000 CDT	0.071218000	17	192.168.62.121	32920		227.111.1.4	12345		1358
212	Apr 25, 2006 05:58:54.695734000 CDT	0.071369000	17	192.168.62.121	32915		227.111.1.1	12345		1358
213	Apr 25, 2006 05:58:54.695901000 CDT	0.071536000	17	192.168.62.121	32917		227.111.1.3	12345		1358
214	Apr 25, 2006 05:58:54.696092000 CDT	0.071727000	17	192.168.62.121	32916		227.111.1.2	12345		1358
215	Apr 25, 2006 05:58:54.696291000 CDT	0.071926000	17	192.168.62.121	32921		227.111.1.5	12345		1358
216	Apr 25, 2006 05:58:54.696501000 CDT	0.072136000	17	192.168.62.121	32923		227.111.1.6	12345		1358
217	Apr 25, 2006 05:58:54.696692000 CDT	0.072327000	17	192.168.62.121	32920		227.111.1.4	12345		1358
218	Apr 25, 2006 05:58:54.701885000 CDT	0.077520000	17	192.168.62.121	32915		227.111.1.1	12345		1358
219	Apr 25, 2006 05:58:54.702049000 CDT	0.077684000	17	192.168.62.121	32917		227.111.1.3	12345		1358
220	Apr 25, 2006 05:58:54.702237000 CDT	0.077872000	17	192.168.62.121	32921		227.111.1.5	12345		1358
221	Apr 25, 2006 05:58:54.702443000 CDT	0.078078000	17	192.168.62.121	32923		227.111.1.6	12345		1358
222	Apr 25, 2006 05:58:54.702657000 CDT	0.078292000	17	192.168.62.121	32920		227.111.1.4	12345		1358
223	Apr 25, 2006 05:58:54.702864000 CDT	0.078499000	17	192.168.62.121	32915		227.111.1.1	12345		1358
224	Apr 25, 2006 05:58:54.703091000 CDT	0.078726000	17	192.168.62.121	32917		227.111.1.3	12345		1358
225	Apr 25, 2006 05:58:54.703098000 CDT	0.078733000	6	10.100.100.100		2834	192.168.62.121		5901	60
226	Apr 25, 2006 05:58:54.703341000 CDT	0.078976000	17	192.168.62.121	32921		227.111.1.5	12345		1358
227	Apr 25, 2006 05:58:54.703558000 CDT	0.079193000	17	192.168.62.121	32923		227.111.1.6	12345		1358
228	Apr 25, 2006 05:58:54.703566000 CDT	0.079201000	6	192.168.62.121		5901	10.100.100.100		2834	60
229	Apr 25, 2006 05:58:54.703813000 CDT	0.079448000	17	192.168.62.121	32920		227.111.1.4	12345		1358
230	Apr 25, 2006 05:58:54.704026000 CDT	0.079661000	17	192.168.62.121	32917		227.111.1.3	12345		1358
231	Apr 25, 2006 05:58:54.704240000 CDT	0.079875000	17	192.168.62.121	32916		227.111.1.2	12345		1358
